time,open,high,low,close
1971-01-04,1.0109,1.0109,1.0109,1.0109
1971-01-05,1.0102,1.0102,1.0102,1.0102
1971-01-06,1.0106,1.0106,1.0106,1.0106
1971-01-07,1.0148,1.0148,1.0148,1.0148
1971-01-08,1.0154,1.0154,1.0154,1.0154
1971-01-11,1.0159,1.0159,1.0159,1.0159
1971-01-12,1.013,1.013,1.013,1.013
1971-01-13,1.0122,1.0122,1.0122,1.0122
1971-01-14,1.0133,1.0133,1.0133,1.0133
1971-01-15,1.0135,1.0135,1.0135,1.0135
1971-01-18,1.0126,1.0126,1.0126,1.0126
1971-01-19,1.0111,1.0111,1.0111,1.0111
1971-01-20,1.0115,1.0115,1.0115,1.0115
1971-01-21,1.0109,1.0109,1.0109,1.0109
1971-01-22,1.0117,1.0117,1.0117,1.0117
1971-01-25,1.0111,1.0111,1.0111,1.0111
1971-01-26,1.0107,1.0107,1.0107,1.0107
1971-01-27,1.0101,1.0101,1.0101,1.0101
1971-01-28,1.009,1.009,1.009,1.009
1971-01-29,1.008,1.008,1.008,1.008
1971-02-01,1.0076,1.0076,1.0076,1.0076
1971-02-02,1.0087,1.0087,1.0087,1.0087
1971-02-03,1.0085,1.0085,1.0085,1.0085
1971-02-04,1.0078,1.0078,1.0078,1.0078
1971-02-05,1.0078,1.0078,1.0078,1.0078
1971-02-08,1.0083,1.0083,1.0083,1.0083
1971-02-09,1.0083,1.0083,1.0083,1.0083
1971-02-10,1.0086,1.0086,1.0086,1.0086
1971-02-11,1.0086,1.0086,1.0086,1.0086
1971-02-16,1.0084,1.0084,1.0084,1.0084
1971-02-17,1.0087,1.0087,1.0087,1.0087
1971-02-18,1.0076,1.0076,1.0076,1.0076
1971-02-19,1.0066,1.0066,1.0066,1.0066
1971-02-22,1.0043,1.0043,1.0043,1.0043
1971-02-23,1.0035,1.0035,1.0035,1.0035
1971-02-24,1.0075,1.0075,1.0075,1.0075
1971-02-25,1.0066,1.0066,1.0066,1.0066
1971-02-26,1.007,1.007,1.007,1.007
1971-03-01,1.0076,1.0076,1.0076,1.0076
1971-03-02,1.0071,1.0071,1.0071,1.0071
1971-03-03,1.0073,1.0073,1.0073,1.0073
1971-03-04,1.0064,1.0064,1.0064,1.0064
1971-03-05,1.0047,1.0047,1.0047,1.0047
1971-03-08,1.003,1.003,1.003,1.003
1971-03-09,1.004,1.004,1.004,1.004
1971-03-10,1.0036,1.0036,1.0036,1.0036
1971-03-11,1.0049,1.0049,1.0049,1.0049
1971-03-12,1.0056,1.0056,1.0056,1.0056
1971-03-15,1.0059,1.0059,1.0059,1.0059
1971-03-16,1.0052,1.0052,1.0052,1.0052
1971-03-17,1.0056,1.0056,1.0056,1.0056
1971-03-18,1.0065,1.0065,1.0065,1.0065
1971-03-19,1.0077,1.0077,1.0077,1.0077
1971-03-22,1.0079,1.0079,1.0079,1.0079
1971-03-23,1.0078,1.0078,1.0078,1.0078
1971-03-24,1.0076,1.0076,1.0076,1.0076
1971-03-25,1.007,1.007,1.007,1.007
1971-03-26,1.0074,1.0074,1.0074,1.0074
1971-03-29,1.0075,1.0075,1.0075,1.0075
1971-03-30,1.0082,1.0082,1.0082,1.0082
1971-03-31,1.0081,1.0081,1.0081,1.0081
1971-04-01,1.0076,1.0076,1.0076,1.0076
1971-04-02,1.0073,1.0073,1.0073,1.0073
1971-04-05,1.0071,1.0071,1.0071,1.0071
1971-04-06,1.0062,1.0062,1.0062,1.0062
1971-04-07,1.0069,1.0069,1.0069,1.0069
1971-04-08,1.0071,1.0071,1.0071,1.0071
1971-04-09,1.0068,1.0068,1.0068,1.0068
1971-04-12,1.0069,1.0069,1.0069,1.0069
1971-04-13,1.0076,1.0076,1.0076,1.0076
1971-04-14,1.0081,1.0081,1.0081,1.0081
1971-04-15,1.0075,1.0075,1.0075,1.0075
1971-04-16,1.0068,1.0068,1.0068,1.0068
1971-04-19,1.0073,1.0073,1.0073,1.0073
1971-04-20,1.0075,1.0075,1.0075,1.0075
1971-04-21,1.0073,1.0073,1.0073,1.0073
1971-04-22,1.0076,1.0076,1.0076,1.0076
1971-04-23,1.0085,1.0085,1.0085,1.0085
1971-04-26,1.0092,1.0092,1.0092,1.0092
1971-04-27,1.0095,1.0095,1.0095,1.0095
